,dataset_conf,ga_strat,log_prob,total_time,crossover_time,mutation_time,fitness_time,selection_time
0,fsdd_128M_4N_10S,strat_1,-2377.189308514967,0.2595687999855727,0.06617410015314817,0.10418110020691529,0.06629830016754568,0.01554530014982447
1,fsdd_128M_4N_10S,strat_1,-2437.591515994665,0.2754236000473611,0.06736740010092035,0.10124580020783469,0.095120599726215,0.0038704999024048448
2,fsdd_128M_4N_10S,strat_1,-2408.9721603010544,0.22788900003070012,0.05032610020134598,0.09994950011605397,0.06602580012986436,0.0038218999980017543
3,fsdd_128M_4N_10S,strat_1,-2520.970646722877,0.22071979998145252,0.045785299967974424,0.09874680015491322,0.06534209992969409,0.0034438999136909842
4,fsdd_128M_4N_10S,strat_1,-2454.461730793742,0.2665114999981597,0.06101029989076778,0.1264383998932317,0.06827769993105903,0.003516600001603365
